Timestamp,Value
Jun 2015,87.2
Jul 2015,91.2
Aug 2015,66
Sep 2015,41.6
Oct 2015,46.8
Nov 2015,171.6
Dec 2015,199.4
Jan 2016,199.6
Feb 2016,177.4
Mar 2016,72.2
Apr 2016,91.8
May 2016,68.8
Jun 2016,51
Jul 2016,82.2
Aug 2016,73.4
Sep 2016,70.8
Oct 2016,66.6
Nov 2016,91
Dec 2016,116.2
Jan 2017,120
Feb 2017,89.6
Mar 2017,101.8
Apr 2017,127.4
May 2017,21.8
Jun 2017,96.4
Jul 2017,49.8
Aug 2017,80
Sep 2017,71
Oct 2017,117.6
Nov 2017,268.2
Dec 2017,133
Jan 2018,150.4
Feb 2018,56.8
Mar 2018,145.2
Apr 2018,43
May 2018,33.4
Jun 2018,4.6
Jul 2018,51.2
Aug 2018,64.6
Sep 2018,158.8
Oct 2018,126.4
Nov 2018,64.4
Dec 2018,69.6
Jan 2019,178.6
Feb 2019,56.2
Mar 2019,172.4
Apr 2019,49
May 2019,108.6
Jun 2019,70.4
Jul 2019,74.8
Aug 2019,210.6
Sep 2019,73.6
Oct 2019,87.6
Nov 2019,136.4
Dec 2019,119.4
Jan 2020,142.8
Feb 2020,263.4
Mar 2020,76
Apr 2020,27.2
May 2020,136.8
Jun 2020,108.8
Jul 2020,55
Aug 2020,37.8
Sep 2020,65.8
Oct 2020,210.2
Nov 2020,79.6
Dec 2020,109.4
Jan 2021,155.4
Feb 2021,106
Mar 2021,118.8
Apr 2021,62
May 2021,157.6
Jun 2021,19.2
Jul 2021,92.2
Aug 2021,41.2
Sep 2021,24.8
Oct 2021,157.2
Nov 2021,197.4
Dec 2021,92
Jan 2022,102.2
Feb 2022,219.8
Mar 2022,23
Apr 2022,125
May 2022,109.8
Jun 2022,27.6
Jul 2022,83.6
Aug 2022,52.8
Sep 2022,115.2
Oct 2022,116.8
Nov 2022,100
Dec 2022,143.6
Jan 2023,149.6
Feb 2023,67.6
Mar 2023,105.8
Apr 2023,61.2
May 2023,22.6
Jun 2023,93.4
Jul 2023,145.4
Aug 2023,92.4
Sep 2023,92.2
Oct 2023,279
Nov 2023,101.8
Dec 2023,233.8
Jan 2024,161.6
Feb 2024,128.6
Mar 2024,98.2
Apr 2024,98
May 2024,39.8
Jun 2024,109.4
Jul 2024,54.8
Aug 2024,47
Sep 2024,115.8
Oct 2024,76.6
Nov 2024,91.8
Dec 2024,297.4
Jan 2025,95.6
Feb 2025,34.2
Mar 2025,69.6
Apr 2025,21
May 2025,6.6
